localtime,time,symbol,signal,signal_sim,SameFlag
09:45:10.277448182,09:45:10.000000000,sh603988,14.1452,14.1452,1
09:45:13.271915848,09:45:13.000000000,sh603988,14.4323,14.4323,1
09:45:16.283418626,09:45:16.000000000,sh603988,21.8125,21.8125,1
09:45:19.273819801,09:45:19.000000000,sh603988,18.6185,18.6185,1
09:45:22.283321330,09:45:22.000000000,sh603988,24.5304,24.5304,1
09:45:25.281414026,09:45:25.000000000,sh603988,19.3018,19.3018,1
09:45:28.282991030,09:45:28.000000000,sh603988,14.5791,14.5791,1
09:45:31.281842747,09:45:31.000000000,sh603988,13.5767,13.5767,1
09:45:34.282719125,09:45:34.000000000,sh603988,10.1472,10.1472,1
09:45:37.283372996,09:45:37.000000000,sh603988,1.63092,1.63092,1
09:45:40.280762618,09:45:40.000000000,sh603988,-1.1742,-1.1742,1
09:45:43.281662726,09:45:43.000000000,sh603988,7.3719100000000015,7.3719100000000015,1
09:45:46.281921533,09:45:46.000000000,sh603988,8.682939999999999,8.682939999999999,1
09:45:49.277695490,09:45:49.000000000,sh603988,5.2537699999999985,5.2537699999999985,1
09:45:52.270504297,09:45:52.000000000,sh603988,6.347569999999998,6.347569999999998,1
09:45:55.278087689,09:45:55.000000000,sh603988,5.5077,5.5077,1
09:45:58.277431375,09:45:58.000000000,sh603988,-1.03461,-1.03461,1
09:46:01.282375568,09:46:01.000000000,sh603988,-4.28081,-4.28081,1
09:46:04.282487209,09:46:04.000000000,sh603988,-7.53821,-7.53821,1
09:46:07.284449886,09:46:07.000000000,sh603988,4.609,4.609,1
09:46:10.274083134,09:46:10.000000000,sh603988,2.43563,2.43563,1
09:46:13.276855807,09:46:13.000000000,sh603988,16.5074,16.5074,1
09:46:17.093157544,09:46:17.000000000,sh603988,18.1209,18.1209,1
09:46:20.092380537,09:46:20.000000000,sh603988,-2.23444,-2.23444,1
09:46:23.103985457,09:46:23.000000000,sh603988,7.70983,7.70983,1
09:46:26.091767490,09:46:26.000000000,sh603988,-10.7109,-10.7109,1
09:46:29.057757944,09:46:29.000000000,sh603988,11.2356,11.2356,1
09:46:32.007395887,09:46:32.000000000,sh603988,3.08522,3.08522,1
09:46:34.993145659,09:46:35.000000000,sh603988,-7.32776,-7.32776,1
09:46:37.993678403,09:46:38.000000000,sh603988,5.8914300000000015,5.8914300000000015,1
09:46:40.997988047,09:46:41.000000000,sh603988,-4.5561300000000005,-4.5561300000000005,1
